bea_code,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
332,0.0076894,0.0025731,0.0256582,0.0165295,0.0103779,0.0130308,0.0541495,0.0340842,0.0267545,0.0747393,1.0955939,0.070301,0.0244135,0.0952607,0.0527691,0.0445485,0.0645706,0.0331045,0.0244155,0.0230225,0.0080668,0.0382385,0.0205759,0.011976,0.0133033,0.0386675,0.0042707,0.0039347,0.0040747,0.0024385,0.003241,0.0039487,0.0095489,0.0271586,0.0080843,0.0081485,0.0320331,0.0088541,0.0076086,0.0033249,0.0016268,0.0103159,0.0056588,0.0018036,0.0025808,0.0011378,0.002318,0.0019037,0.0059447,0.0065205,0.0011686,0.0051496,0.0048316,0.0027291,0.0049174,0.0230441,0.0055143,0.002872,0.0053113,0.0031762,0.0097406,0.002163,0.0103181,0.0071823,0.0065106,0.020359,0.013725,0.0056749,0.004991,0.0059165,0.0314066,0.3152276,0.0056749
333,0.0022446,6.81e-4,0.0175979,0.0185649,0.0147374,0.0027736,0.0145119,0.0041551,0.0048143,0.0109968,0.015254,1.0286175,0.0029954,0.0168257,0.0336691,0.0101082,0.003511,0.0021432,0.0038033,0.0030485,0.0011287,0.0032525,0.009443,0.006795,0.0047683,0.0085189,0.0012961,0.0014481,0.0013457,9.111e-4,0.001107,9.922e-4,0.0021769,0.002031,0.0022141,0.00169,0.0019724,0.0017541,0.0061654,7.133e-4,5.405e-4,0.0015787,0.0023071,4.655e-4,7.29e-4,3.191e-4,6.528e-4,5.201e-4,0.001818,0.0025757,3.71e-4,0.0014658,0.0012877,8.124e-4,0.0020622,0.0108263,0.0041128,9.795e-4,0.0017092,0.0013275,0.001678,7.884e-4,0.0026789,9.262e-4,0.0014973,0.0060452,0.0034624,0.0011991,-4.691e-4,0.0021101,0.0064091,0.0379475,0.0011991
334,0.0017491,5.513e-4,0.0015833,0.0016863,9.047e-4,0.0016189,0.0038999,0.0076639,0.0053307,0.0081505,0.0117655,0.0137546,1.046032,0.0238049,0.0132313,0.0388752,0.0107652,0.0217145,0.0035831,0.008501,0.0023608,0.006623,0.0108639,0.0011893,0.0047922,0.0095524,0.0066728000000000004,0.0020809,9.352e-4,6.207e-4,9.256e-4,8.153e-4,0.0019543,0.0020703,0.0010207,0.0012054,9.816e-4,0.0011778,7.594e-4,0.0028706,0.0025482,0.0060983,0.0032463,5.584e-4,9.175e-4,4.011e-4,0.0011592,1.919e-4,0.0012109,0.0013233,6.971e-4,0.0041833,0.0025338,0.0034186,0.0018877,0.0033014,0.0028875,0.0043013,0.001635,0.0010484,0.0013018,6.975e-4,0.0016594,0.0013076,0.0012452,0.002841,0.018866,0.0068737,7.333e-4,0.0015073,0.0046527,0.0061156,0.0068737
335,0.0019423,5.706e-4,0.0013207,0.0014681,9.359e-4,0.0024164,0.0114128,0.0019719,0.0017657,0.0085397,0.0059343,0.0217951,0.0036959,1.0128945,0.0187835,0.0032851,0.0016532,0.0026798,0.0013449,0.0012663,7.143e-4,0.001247,9.929e-4,7.968e-4,0.001374,0.0028181,0.0028558,0.0012109,9.509e-4,0.0011151,6.447e-4,4.534e-4,0.0028048,0.0014614,0.0010708,0.0016485,9.637e-4,0.0011226,0.0012141,4.32e-4,2.716e-4,0.0014388,7.885e-4,3.829e-4,5.191e-4,2.428e-4,4.627e-4,3.977e-4,0.0012902,0.0013605,2.369e-4,0.0015541,0.0011813,6.168e-4,0.0014024,0.0054487,0.001066,4.838e-4,0.0010469,6.369e-4,0.0035926,4.58e-4,0.0042885,6.539e-4,8.183e-4,0.0033278,0.0035011,0.0059385,7.05e-4,0.0011204,0.0085461,0.0041074,0.0059385
3361MV,0.0034639,0.0015281,0.0041301,0.0073498,0.0031178,0.0029047,0.0031485,0.011278,0.0050123,0.0081355,0.0089709,0.0269328,0.0026942,0.0072978,1.2338858,0.0311576,0.0063402,0.0037098,0.0051583,0.0203842,0.0028763,0.0066001,0.0033259,0.0020676,0.0020553,0.0039032,0.0038769,0.0054585,0.0049322,0.0015031,0.0035754,0.00148,0.0026971,0.0046053,0.0121536,0.0065838,0.0015832,0.0031867,0.0064537,0.0014085,0.0011328,0.002099,0.0021389,8.132e-4,0.0012963,6.621e-4,0.0010777,2.918e-4,0.0027901,0.0053341,6.878e-4,0.0012754,0.0023009,0.0017217,0.0115068,0.0099728,0.0043998,0.0016553,0.0034887,0.0018792,0.0071983,0.0022209,0.0027666,0.0016185,0.0025032,0.0126834,0.0114798,0.0016172,0.0229148,0.0046351,0.0059364,0.0418536,0.0016172
3364OT,3.286e-4,1.997e-4,2.306e-4,4e-4,1.964e-4,3.908e-4,3.204e-4,5.803e-4,6.065e-4,8.623e-4,8.437e-4,0.003665,0.0019791,0.0031268,0.0068584,1.1280444,3.888e-4,2.451e-4,4.368e-4,2.995e-4,1.567e-4,5.161e-4,2.947e-4,1.711e-4,3.024e-4,0.0014856,3.373e-4,2.229e-4,1.879e-4,9.1e-5,2.186e-4,0.0063525,0.0155769,0.0208811,0.0010861,0.0014486,2.19e-4,0.0052526,3.358e-4,1.226e-4,1.213e-4,1.566e-4,2.048e-4,1.019e-4,1.833e-4,7.32e-5,1.557e-4,2.31e-5,2.222e-4,2.303e-4,7.52e-5,1.427e-4,8.533e-4,1.379e-4,2.989e-4,9.347e-4,1.779e-4,1.39e-4,1.917e-4,1.434e-4,2.021e-4,1.537e-4,6.589e-4,1.099e-4,1.806e-4,3.576e-4,0.0622449,0.0012749,7.196e-4,1.923e-4,7.977e-4,0.0039989,0.0012749
337,1.477e-4,4.63e-5,1.088e-4,4.396e-4,1.787e-4,8.417e-4,0.0084284,0.0061358,5.294e-4,3.403e-4,8.103e-4,7.751e-4,4.649e-4,3.939e-4,2.58e-4,1.543e-4,0.995612,0.0024436,1.702e-4,0.0017476,7.406e-4,3.839e-4,2.882e-4,1.327e-4,1.296e-4,0.0011592,1.676e-4,3.051e-4,2.402e-4,1.38e-4,2.483e-4,9.44e-5,5.744e-4,1.658e-4,1.364e-4,3.537e-4,3.899e-4,2.961e-4,1.339e-4,8.73e-5,7.23e-5,2.275e-4,4.658e-4,1.047e-4,1.209e-4,5.21e-5,1.145e-4,5.158e-4,4.898e-4,1.27e-4,7.06e-5,6.13e-5,1.574e-4,9.63e-5,1.091e-4,1.687e-4,1.5e-4,1.461e-4,2.503e-4,1.581e-4,8.702e-4,2.148e-4,8.87e-4,2.438e-4,3.905e-4,3.306e-4,2.19e-4,8.45e-5,3.668e-4,2.325e-4,0.0030373,3.313e-4,8.45e-5
339,3.78e-4,1.325e-4,3.046e-4,4.526e-4,2.449e-4,2.843e-4,9.703e-4,0.0012269,8.325e-4,5.583e-4,0.0028117,0.0032549,0.0027711,0.0022857,0.0026352,6.054e-4,0.0036432,0.9718472,4.445e-4,0.003222,0.0620154,7.865e-4,0.0058294,1.768e-4,5.867e-4,0.004303,5.189e-4,5.737e-4,4.357e-4,1.717e-4,4.942e-4,1.586e-4,2.585e-4,4.338e-4,2.749e-4,4.321e-4,3.068e-4,3.908e-4,5.023e-4,2.538e-4,2.208e-4,3.471e-4,3.951e-4,1.912e-4,2.911e-4,1.595e-4,2.443e-4,5.95e-5,4.741e-4,3.638e-4,1.389e-4,2.379e-4,0.00151,2.564e-4,0.0012242,0.0019261,6.837e-4,0.0078238,0.0093795,8.335e-4,0.0016644,7.287e-4,6.56e-4,2.471e-4,4.73e-4,0.0017178,0.0018707,5.858e-4,2.741e-4,0.0011954000000000001,7.035e-4,0.0011374,5.858e-4
311FT,0.1104183,0.0150525,8.194e-4,0.0010106,9.241e-4,0.0011999,0.0012241,0.0037088,0.0064058,0.0025497,0.0013817,9.681e-4,4.271e-4,0.0012447,0.0014207,5.476e-4,0.0017426,0.0015899,1.1885782,0.0060594,0.0505172,0.003844,0.0094991,0.0013407,0.0143697,0.0046829,0.0025133,0.0011352,0.0027799,0.0013225,0.0011718,0.003859,7.964e-4,0.0056056,9.859e-4,0.0010298,6.814e-4,0.0013088,7.069e-4,8.008e-4,0.0013915,0.001177,0.001641,0.001257,0.0014286,6.553e-4,0.0015375,1.471e-4,0.0033328,0.0016467,8.63e-4,0.0014685,0.0030965,0.0015828,0.0018053,0.0055321,0.0225326,0.0038195,0.0152257,0.0207195,0.0574871,0.0092522,0.0215293,0.017484800000000002,0.0661153,0.0028977,0.009164,0.0012404,0.0057855,0.0406917,0.0015002,0.0183939,0.0012404
313TT,5.05e-4,1.575e-4,2.148e-4,3.404e-4,1.74e-4,1.969e-4,0.0011393,0.0034969,0.0017055,4.913e-4,6.971e-4,0.0021289,3.405e-4,6.571e-4,0.0041023,0.0018661,0.0191085,0.0079102,8.761e-4,1.0444859,0.0699529,0.0163317,0.0076087,2.506e-4,0.0046706,0.007122,5.084e-4,2.001e-4,2.983e-4,2.849e-4,7.586e-4,1.096e-4,3.028e-4,5.1e-4,2.3e-4,2.774e-4,1.263e-4,2.556e-4,1.363e-4,1.313e-4,7.139e-4,1.813e-4,1.674e-4,7.15e-5,1.133e-4,9.74e-5,9.56e-5,4.88e-5,2.188e-4,3.502e-4,6.31e-5,9.66e-5,2.54e-4,1.256e-4,2.766e-4,3.753e-4,2.356e-4,3.364e-4,4.008e-4,5.599e-4,8.393e-4,1.304e-4,4.218e-4,5.03e-4,3.181e-4,3.804e-4,6.871e-4,4.398e-4,3.025e-4,4.16e-4,5.086e-4,0.0014694,4.398e-4
