bea_code,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
313TT,4,3,0,1,0,0,441,169,110,0,0,97,0,0,398,174,1620,120,67,1925,690,712,54,15,0,1422,653,6,25,2977,282,0,0,0,2,0,0,1,1,0,100,0,0,0,0,0,0,0,12,104,0,0,176,4,201,212,2,75,249,1435,870,0,32,833,312,427,126,175,0,1312,38
315AL,16,0,0,0,0,0,0,0,0,0,0,0,0,0,902,0,0,50,8,1,220,0,8,0,0,0,27,14,0,5,29,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,9,0,0,0,0,1,0,2,0,3,0,5,13,15,3,3,61,90,15,7,870,0
322,255,0,10,19,4,1,634,56,112,66,91,86,20,135,236,17,62,99,3583,25,0,10044,1965,23,385,502,1697,31,166,35,308,2,5,0,12,230,3,107,17,187,4,13,27,75,34,152,0,0,91,97,15,36,260,78,528,38,48,152,236,128,126,5,22,564,896,87,56,320,7,2273,11
323,0,0,0,0,0,1,15,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,32,0,5,0,170,5,5,3,209,0,0,0,3,0,1,2,1,38,9,67,84,32,90,124,0,0,17,5,4,7,91,8,549,0,10,42,87,2,36,21,3,330,71,33,86,116,0,511,9
324,1491,24,309,308,88,4633,2417,72,51,721,152,551,101,37,20,16,6,7,415,6,0,307,217,3242,3061,87,306,82,28,16,113,8135,765,1469,1596,141,18,1333,415,27,5,55,22,103,127,3,57,1,125,68,3,38,165,88,570,486,264,204,169,88,52,51,57,106,600,262,2919,221,95,15369,4008
325,4126,295,2234,485,478,74,3403,484,1191,425,2405,272,282,732,1597,245,193,1111,2622,2266,16,1886,274,1870,67918,16707,671,24,11,9,37,0,11,1,45,4,0,10,49,23,77,242,137,16,38,16,0,71,5184,9,18,49,56194,4007,2482,407,227,18723,473,127,72,3,102,15,856,1070,3187,1222,21,14467,326
326,446,6,14,445,192,5,8779,401,351,230,710,2269,359,525,5557,384,386,556,2729,73,6,414,930,38,1627,2964,2686,183,144,57,561,280,0,0,280,97,31,40,80,45,17,411,95,7,24,354,0,2,375,904,5,90,1160,24,420,44,210,1006,1143,162,384,8,74,20,574,608,777,511,8,5690,343
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,0,0,0,2,37,154,104,48,58,49,85,48,5,6,53,11,23,25,100,3,0,44,36,10,35,74,1467,44,3,8,5,0,12,0,0,0,4,17,3,104,45,124,640,1453,821,45,101,1,3281,458,225,1159,1108,98,1018,123,248,1076,60,86,176,34,53,45,883,212,0,1156,15,857,28
482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,7,0,2,0,0,21,133,3,0,1,6,3,1,0,1,10,1,2,1,0,0,1,3,0,1,1,326,57,4,16,69,1,5,0,2,1,0,26,9,37,3,49,271,44,143,48,8,0,92,33,93,98,224,30,211,3,42,81,196,12,50,5,7,9,10,54,2,106,1,669,46
512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,79,38,0,11,1,0,0,1,0,10,4,0,21,3748,4327,33,8,10,0,0,0,32,30,2,14,319,49,23,0,104,19,5,203,336,79,15,103,437,52,10,50,1,94,0
513,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,16,6,1,1,0,0,0,3,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,17,1
514,0,0,0,0,0,12,13,2,2,2,4,3,0,1,1,2,1,1,3,0,0,2,1,0,1,1,14,30,8,8,50,2,0,0,1,1,0,4,0,12,1,16,99,58,29,13,20,0,6,15,25,32,159,13,172,9,56,21,28,4,8,9,14,7,103,91,1,17,0,135,28
