I_COMMODITY
7406100000
7406200000
7407101500
7407103000
7407105010
7407105050
7407211500
7407213000
7407215000
7407217000
7407219000
7407291610
7407291680
7407293400
7407293800
7407294000
7407295000
7408113000
7408116000
7408190030
7408190060
7408210000
7408221000
7408225000
7408291000
7408295000
7409111000
7409115010
7409115050
7409191000
7409195000
7409199000
7409210010
7409210050
7409210075
7409210090
7409290010
7409290050
7409290075
7409290090
7409311000
7409315000
7409319000
7409391030
7409391060
7409395000
7409399030
7409399060
7409400000
7409901030
7409901060
7409905030
7409905060
7409909030
7409909060
7410110000
7410120030
7410120060
7410213020
7410213040
7410213060
7410216000
7410220000
7411101030
7411101090
7411105000
7411211000
7411215000
7411220000
7411291000
7411295000
7412100000
7412200015
7412200025
7412200035
7412200045
7412200065
7412200085
7412200090
7413001000
7413005000
7413009000
7415100000
7415210000
7415290000
7415330500
7415331000
7415338010
7415338050
7415390000
7418100002
7418100004
7418100019
7418100021
7418100023
7418100025
7418100051
7418100053
7418100055
7418201000
7418205000
7419200010
7419200050
7419800300
7419800660
7419800680
7419800900
7419801500
7419801600
7419801700
7419803000
7419805010
7419805050
8544421000
8544422000
8544429010
8544429090
8544491000
