bea_code,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
311FT,59078,174,0,0,0,0,0,28,925,7,0,0,0,0,0,0,0,21,232741,13,508,322,734,258,7065,205,4162,0,3457,1199,2610,443,1,345,18,0,0,11,0,39,3,0,398,0,0,0,0,0,0,0,0,0,6071,165,1,0,6955,7,7526,5851,19387,2091,8134,7564,107942,1596,6777,159,548,123886,0
313TT,9,3,0,0,0,0,2831,527,259,0,2,801,0,0,1866,782,2127,1334,55,7221,1412,3464,270,21,3,1634,1374,44,61,2099,1241,0,0,34,24,0,0,16,1,1,145,5,6,0,0,0,0,1,72,270,0,0,302,18,152,151,12,33,143,566,341,0,97,362,156,285,470,255,2,1206,27
315AL,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,0,0,136,13,24,638,0,40,0,0,0,284,20,0,94,229,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,8,0,0,7,1,76,66,3,1,2,0,2,27,38,7,1,1146,136,17,313,862,34
322,524,0,139,169,45,30,6455,1945,3199,2513,3225,2055,702,2729,7233,647,2088,2208,31290,469,15,51030,9015,184,6484,6213,8511,299,1623,475,2142,51,50,3,324,1611,39,1384,242,1092,81,412,382,1095,929,2255,2,1,1044,1482,444,744,4753,632,7849,504,619,1790,1484,777,1356,160,331,4238,6642,1529,600,3046,202,18294,87
323,13,0,10,1,0,8,60,2,0,0,10,3,0,2,4,0,0,0,67,0,0,0,1027,1,68,0,11083,280,160,128,8273,9,9,0,176,183,4,288,12,3547,524,255,4876,921,1744,3725,0,0,166,670,635,394,5599,856,2837,19,707,2148,4321,160,1939,969,361,731,1480,1700,1345,2057,42,13014,540
324,9486,204,4429,2239,1182,16740,65551,678,648,2301,676,650,132,1337,377,90,234,769,2747,38,1,1059,462,11037,7189,663,3793,1130,371,158,1650,23735,2967,6159,45638,7198,325,11713,2692,230,70,508,742,5322,6355,125,695,41,5922,3017,44,1434,2456,472,8157,1962,2006,2295,1422,780,944,234,1141,695,4835,1969,7020,743,1164,91133,25159
325,36472,1110,8810,1858,1001,1644,27708,10150,4862,1647,7745,2593,1975,3893,13916,1431,2300,5391,9542,9753,118,8697,5643,17387,185691,74735,2477,162,64,30,915,2,175,3,333,37,2,45,434,622,311,404,2151,62,229,203,0,725,9251,229,162,329,45834,2492,13517,2104,1107,59583,28905,4018,760,408,1085,77,1346,3772,1312,3860,64,58789,9136
326,2147,85,139,1028,342,23,59511,1972,1278,771,2671,8863,2304,3702,23336,2735,3736,4143,28674,361,32,3141,2832,226,10261,22086,25667,2053,2064,436,5772,136,5,0,864,213,37,2319,245,266,106,4778,1440,59,159,2118,0,17,2063,3086,27,2188,9947,116,4676,628,643,15016,6341,2790,2372,80,437,201,13383,4762,5266,1455,10,16519,6814
42,1312,7,699,63,0,1439,160,370,449,1052,1046,1853,812,2100,4732,28,269,1364,4483,69,28,1388,109,90,3527,4232,49422,4014,816,25,17829,245,0,0,160,0,5,0,0,638,18,2196,103,15,37,23,6,0,0,15750,0,413,0,0,105,50,21,135,39,0,0,0,55,0,131,91,0,0,3,38,0
441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928,0,567,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
