bea_code,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
332,0.0139508,0.0044138,0.0398566,0.0240941,0.0147262,0.0177917,0.0706779,0.0451466,0.0336564,0.1049499,1.1221022,0.0960851,0.0309221,0.1224243,0.082844,0.0632279,0.0845022,0.0417832,0.0324913,0.0308632,0.0114637,0.0542721,0.0278377,0.0273835,0.0201208,0.0494142,0.0065527,0.0060715,0.006231,0.0039462,0.0055547,0.0073635,0.0137302,0.0319409,0.0119647,0.0124057,0.0345003,0.0128852,0.0106126,0.0045321,0.0026121,0.0169104,0.007962,0.0027936,0.0045927,0.0019631,0.0041949,0.0025446,0.0092525,0.009121,0.001927,0.0073336,0.0075814,0.0046769,0.0084988,0.0329964,0.0082559,0.0048123,0.0081199,0.0052227,0.0156107,0.0035859,0.015153,0.0113873,0.0099347,0.0249905,0.0223821,0.0088161,0.0083181,0.0095274,0.0422596,0.3293496,0.0088161
333,0.0109975,0.0024656,0.0331993,0.0458204,0.0298704,0.0078418,0.0249074,0.0097049,0.0103979,0.0223106,0.0273658,1.0758663,0.005355,0.0322602,0.0773106,0.0193833,0.0089907,0.0082021,0.0124154,0.0084274,0.0034406,0.0137414,0.0221518,0.0210169,0.0121375,0.0179526,0.0034611,0.0033937,0.003322,0.0020311,0.0028859,0.0044422,0.0045813,0.0063905,0.0067616,0.004981,0.0040655,0.0138418,0.0110561,0.0017703,0.0013304,0.0034631,0.0038554,0.0012079,0.0021622,0.0013971,0.0019009,9.594e-4,0.0046892,0.0049117,9.723e-4,0.0045913,0.0034905,0.0023249,0.0075527,0.0313347,0.0080714,0.0030513,0.0042058,0.0030261,0.0040651,0.0020721,0.0066208,0.00251,0.0037259,0.0120769,0.0079143,0.0034183,0.0044249,0.0060515,0.0172252,0.049297,0.0034183
334,0.0063881,0.0020778,0.0067327,0.0075007,0.0049661,0.0048705,0.0110312,0.018726,0.0119425,0.0188537,0.0257101,0.0300151,1.1031567,0.0417148,0.0585362,0.0793312,0.0225394,0.0298513,0.0111943,0.0177104,0.0068247,0.0135464,0.0194637,0.0059138,0.0106852,0.018359,0.023382,0.0074189,0.0048175,0.0043961,0.0048037,0.0045837,0.0055552,0.0076759,0.0050739,0.0048675,0.0036252,0.004899,0.0038049,0.0090397,0.0066513,0.0365947,0.0147165,0.0035844,0.0081984,0.0019905,0.0120094,6.943e-4,0.0057345,0.0052906,0.0061175,0.0108877,0.0100343,0.0250821,0.0102326,0.0118263,0.0070737,0.0105922,0.0059739,0.0044406,0.0061469,0.0031862,0.0063777,0.0046583,0.0057983,0.0107353,0.0371416,0.0158744,0.0038042,0.0060127,0.0124314,0.0159337,0.0158744
335,0.0131534,0.0024409,0.00413,0.0052633,0.0061887,0.0052808,0.0264662,0.0072785,0.0049236,0.0185507,0.0172885,0.0528418,0.0103151,1.0605081,0.0345698,0.0097148000000000009,0.0065181,0.0078545,0.0079486,0.0049774,0.0023705,0.0077074,0.0049387,0.0033079,0.0039994,0.0077678,0.0041496,0.0030001,0.002348,0.0025547,0.0017943,0.0022127,0.0051984,0.0035343,0.002591,0.0040624,0.0024899,0.0030703,0.0028068,0.0012403,9.026e-4,0.0066482,0.0020758,0.00114,0.0023306,8.679e-4,0.0018946,9.273e-4,0.0036869,0.0028051,7.288e-4,0.00525,0.0037602,0.0016687,0.0037452,0.0124198,0.0026652,0.0014037,0.0027815,0.003438,0.0057411,0.0014371,0.0077436,0.0033344,0.0027279,0.0069802,0.0089446,0.0119793,0.002834,0.0030994,0.0175631,0.0111773,0.0119793
3361MV,0.0087093,0.0033611,0.0087449,0.0159143,0.0070802,0.0059321,0.0078544,0.030286,0.0120559,0.019972,0.0180233,0.0519635,0.0067565,0.017653,1.3989123,0.0495747,0.0174701,0.0098592,0.0131695,0.0282431,0.0066581,0.0184389,0.0088966,0.0065697,0.005824,0.0099902,0.0081741,0.0116377,0.0107184,0.0034901,0.0077485,0.003647,0.0060175,0.0094698,0.0244236,0.0128174,0.0032764,0.0068711,0.0141609,0.0029571,0.0024053,0.0048378,0.0044892,0.0017897,0.0030261,0.0015408,0.0025096,6.459e-4,0.0058516,0.0111494,0.0014629,0.0028275,0.0049392,0.0039055,0.0225213,0.0209839,0.0094854,0.0037057,0.00751,0.0042556,0.0146635,0.0039956,0.005982,0.0036926,0.0058724,0.0249391,0.0257736,0.0036586,0.0427278,0.0097213,0.0126248,0.0547566,0.0036586
3364OT,5.702e-4,2.939e-4,4.397e-4,7.24e-4,3.918e-4,5.793e-4,5.838e-4,9.753e-4,9.212e-4,0.0015323,0.0013197,0.0047708,0.0024882,0.0040577,0.0092847,1.2804722,7.337e-4,4.665e-4,7.39e-4,5.57e-4,2.9e-4,9.314e-4,5.709e-4,4.059e-4,5.053e-4,0.0019338,6.064e-4,3.778e-4,3.272e-4,1.711e-4,3.772e-4,0.0078679,0.0181063,0.0241548,0.0018111,0.0018112,3.632e-4,0.0093142,6.054e-4,2.058e-4,2.102e-4,3.451e-4,3.461e-4,1.879e-4,5.212e-4,1.309e-4,3.999e-4,3.99e-5,3.589e-4,4.213e-4,1.296e-4,2.597e-4,0.0010743,2.732e-4,5.071e-4,0.0013568,3.069e-4,2.413e-4,3.274e-4,2.465e-4,3.654e-4,2.488e-4,8.748e-4,2.039e-4,3.199e-4,5.885e-4,0.0750627,0.0034289,0.0010457,3.298e-4,0.0011536,0.0048312,0.0034289
337,2.53e-4,7.75e-5,1.912e-4,5.592e-4,2.381e-4,0.001459,0.0088049,0.006974,6.649e-4,5.52e-4,9.778e-4,9.67e-4,5.442e-4,5.736e-4,5.091e-4,2.711e-4,1.0200649,0.0026207,2.951e-4,0.0019831,9.002e-4,5.873e-4,4.268e-4,2.328e-4,2.243e-4,0.0013386,4.521e-4,5.921e-4,3.735e-4,2.067e-4,0.0010159,1.657e-4,6.887e-4,2.844e-4,2.382e-4,6.017e-4,4.609e-4,5.128e-4,1.945e-4,1.307e-4,2.773e-4,3.995e-4,5.406e-4,1.487e-4,1.918e-4,8.6700000000000007e-05,1.853e-4,9.474e-4,6.475e-4,1.997e-4,1.051e-4,1.095e-4,3.55e-4,1.816e-4,1.827e-4,2.878e-4,2.213e-4,3.494e-4,3.614e-4,2.382e-4,9.729e-4,0.0023103,0.0022732,3.295e-4,4.925e-4,5.482e-4,3.16e-4,1.382e-4,4.94e-4,3.202e-4,0.0054341,4.79e-4,1.382e-4
339,6.395e-4,2.49e-4,6.309e-4,9.461e-4,5.246e-4,4.6e-4,0.0014263,0.0016343,0.001128,0.0010884,0.0033193,0.0058571,0.0030703,0.0040202,0.0056562,0.001079,0.004185,0.9800604,7.412e-4,0.003766,0.0647418,0.0011872,0.006253,4.927e-4,0.0010019,0.004798,8.089e-4,0.0012151,7.542e-4,3.099e-4,8.515e-4,3.76e-4,4.169e-4,7.303e-4,5.111e-4,6.862e-4,4.466e-4,6.745e-4,9.187e-4,3.879e-4,3.502e-4,6.223e-4,6.097e-4,3.126e-4,5.382e-4,2.654e-4,4.482e-4,9.13e-5,7.779e-4,6.006e-4,2.249e-4,4.029e-4,0.0020332,4.57e-4,0.0019951,0.0025414,0.0013281,0.0117929,0.0172756,0.0016667,0.0031197,0.0011008,0.0011113,4.391e-4,9.639e-4,0.0025133,0.0029017,0.0010881,4.852e-4,0.0024306,0.0010798,0.0020713,0.0010881
311FT,0.1189479,0.016452,0.0013495,0.0015894,0.0013432,0.001603,0.0018776,0.0048808,0.0093676,0.0044155,0.0024539,0.0017836,7.242e-4,0.0023542,0.002768,0.0010329,0.003005,0.0025706,1.2215049,0.0091493,0.0534419,0.0059043,0.0108752,0.0023254,0.0200913,0.0079715,0.0030035,0.0014916,0.0037465,0.0018091,0.0015244,0.0052453,0.0011161,0.0068662,0.0013556,0.0014057,9.151e-4,0.0017324,9.668e-4,0.0010525,0.0017009,0.001528,0.0021658,0.0016005,0.0019524,9.242e-4,0.002033,2e-4,0.0042409,0.0021269,0.0010926,0.0018758,0.0040445,0.0020843,0.0023765,0.0066717,0.0258887,0.0049584,0.0178556,0.0238557,0.0644841,0.0099484,0.0250506,0.0203002,0.0811956,0.0036423,0.010919,0.0016754,0.0071187,0.04652,0.0021701,0.0215574,0.0016754
313TT,9.55e-4,3.642e-4,4.736e-4,8.023e-4,4.252e-4,4.605e-4,0.0020638,0.0058579,0.0031283,0.0012047,0.0012833,0.0032621,5.88e-4,0.001407,0.0068191,0.0032881,0.0434532,0.0098769,0.0017734,1.0935188,0.1117876,0.0233568,0.0103308,5.811e-4,0.0056781,0.0140166,0.0010527,4.232e-4,6.109e-4,0.0115324,0.0012032,3.486e-4,5.878e-4,8.309e-4,5.132e-4,6.008e-4,2.803e-4,5.456e-4,3.198e-4,2.641e-4,0.0015465,4.454e-4,3.614e-4,1.844e-4,3.383e-4,2.168e-4,2.802e-4,1.167e-4,5.528e-4,6.954e-4,1.454e-4,2.538e-4,6.251e-4,3.117e-4,7.524e-4,0.0020439,5.824e-4,7.378e-4,0.0010338,0.005355,0.003846,3.745e-4,8.934e-4,0.0036318,8.715e-4,0.0010964,0.0012957,0.0010545,6.249e-4,0.0012258,0.0012113,0.0028239,0.0010545
