bea_detail_code,steel_share,aluminum_share,copper_share,other_metal_share,metal_share
1111A0,0.004023549705388331,9.108242746807644e-4,0.00246066279387287,9.557632260580348e-4,0.0083508
1111B0,0.008473943006072517,0.001797448680710951,0.005188496107097656,0.0020433122061188757,0.0175032
111200,0.004840187237808823,0.001727586649609072,0.0027202408655193897,0.0010523852470627159,0.0103404
111300,0.002870647960996684,0.0010861369876406732,0.0016871649962044706,6.527500551581724e-4,0.0062967000000000006
111400,0.004242937556029048,9.465055683834213e-4,0.0024280279850542982,9.349288905332331e-4,0.008552400000000002
111900,0.0070446746641559055,0.0014830427182792633,0.004026256563987606,0.0015918260535772244,0.0141458
112120,0.009156614384148522,0.001995992160044219,0.00631328185674196,0.0024828115990652992,0.0199487
1121A0,0.008612642119711559,0.001364749121117837,0.0020222972602187902,8.090114989518131e-4,0.0128087
112300,0.005024853194171625,0.001697798848760947,0.002201658389209668,9.367895678577596e-4,0.0098611
112A00,0.0024161978502015642,5.596620426915338e-4,0.0015810526403446123,6.251874667622895e-4,0.0051821
113000,0.0014098429635771156,3.591309324917461e-4,6.822462629636563e-4,2.7367984096748194e-4,0.0027248999999999997
114000,0.005831455593890568,0.0021375985281138284,0.002097230356674106,9.77015521321498e-4,0.011043299999999999
115000,0.0017038585828328483,5.021496581051806e-4,7.453767363928042e-4,2.9241502266916686e-4,0.0032438
211000,0.022323860812900373,0.0018579544731610338,0.0028083738016346366,0.001200510912303954,0.028190699999999996
212100,0.020496735708089943,0.003384784358720621,0.0041721550427050716,0.0019820248904843653,0.030035700000000002
212230,0.014311810051499672,0.0020218357745901278,0.0025883372586602955,0.0012229169152499055,0.0201449
2122A0,0.03077498170782645,0.003643452808113947,0.0042926475122029815,0.0020904179718566197,0.040801500000000004
212310,0.01854805475474672,0.0023369853554309422,0.003030531336610795,0.0013143285532115398,0.025229899999999996
2123A0,0.029979593206580148,0.003064327760789523,0.00420245813390707,0.0017783208987232559,0.039024699999999996
213111,0.02436603221930665,0.0029630097846404385,0.004560459447368273,0.00224039854868464,0.0341299
21311A,0.014856149111443282,0.0023573041853512705,0.003152738398937054,0.001620808304268394,0.021987000000000003
221100,0.003829007397138511,8.173057345018083e-4,0.001006590700705252,3.8979616765442884e-4,0.006042700000000001
221200,0.004745549922256859,0.0012107055258880203,0.0015437375229110308,5.5130702894409e-4,0.008051299999999999
221300,0.01118481785404497,0.0031240921793603106,0.004498477521352536,0.0019181124452421826,0.020725499999999997
233210,0.023683440021851947,0.005937666189410621,0.007285499710060514,0.002067994078676917,0.0389746
233262,0.022611232002438118,0.0061501285334331825,0.0070187847183301125,0.002126254745798585,0.03790639999999999
230301,0.021051601004403737,0.006696515526868683,0.009400448413917755,0.0027073350548098224,0.0398559
230302,0.013696044797681278,0.00435412235466127,0.006768293731581613,0.0017931391160758419,0.026611600000000003
2332A0,0.03410042227168463,0.009492984061252811,0.0093707218077022,0.002921871859360363,0.055886000000000005
233412,0.017680132393679777,0.00432907328762849,0.005738584332272435,0.0016624099864193018,0.0294102
2334A0,0.021739881684217897,0.006518509614658833,0.008447397598795203,0.002422311102328068,0.0391281
233230,0.02684370497886291,0.010904107628964627,0.007594843276827988,0.002505644115344472,0.047848299999999996
2332D0,0.02570338277800396,0.007247053148077157,0.00731107120934912,0.0022251928645697643,0.0424867
233240,0.01935281871207566,0.003686279906807288,0.009240476472142068,0.0019276249089749825,0.03420719999999999
233411,0.01500118708232254,0.004961797701385113,0.006164115911341451,0.001728399304950896,0.027855500000000002
2332C0,0.02829177841230313,0.004951816291785907,0.006226576732496566,0.0019057285634143982,0.04137590000000001
321100,0.008347306619376911,0.002949884864802218,0.002834541455502164,0.0012006670603187056,0.015332399999999998
321200,0.010477516590607493,0.0034748537816449584,0.0029860290085760143,0.0013783006191715346,0.018316700000000002
321910,0.011219448677706226,0.005335841682936759,0.003350388940860732,0.0015049206984962835,0.021410600000000002
3219A0,0.02091990104217743,0.009347564636396867,0.0067961482753702,0.0027482860460555057,0.0398119
327100,0.012111663825451213,0.0021992487966074996,0.002437370094761113,9.586172831801749e-4,0.0177069
327200,0.006036507425468778,0.003620617566647945,0.008242390596794586,0.0015405844110886913,0.019440100000000002
