hts10,cty_code,usmca_share
0106900110,2010,0
0106900120,1220,0.9145412789
0106900120,2010,0
0106900180,1220,0.4040833886
0106900180,2010,0.2079072989
0201100510,1220,0
0201100510,2010,0
0201100590,1220,0
0201100590,2010,0
0201101010,1220,0
0201101010,2010,0
0201101090,1220,1
0201101090,2010,1
0201105010,1220,1
0201105010,2010,0
0201105090,1220,1
0201105090,2010,0
0201200200,1220,0
0201200200,2010,0
0201200400,1220,0
0201200400,2010,0
0201200600,1220,0
0201200600,2010,0
0201201000,1220,1
0201201000,2010,1
0201203000,1220,0
0201203000,2010,1
0201205015,1220,1
0201205015,2010,0
0201205025,1220,1
0201205025,2010,1
0201205035,1220,1
0201205035,2010,1
0201205045,1220,1
0201205045,2010,1
0201205065,1220,1
0201205065,2010,0
0201205075,1220,1
0201205075,2010,1
0201205091,1220,1
0201205091,2010,1
0201208010,1220,1
0201208010,2010,0
0201208090,1220,1
0201208090,2010,1
0201300200,1220,0
0201300200,2010,0
0201300400,1220,0
0201300400,2010,0
0201300600,1220,0
0201300600,2010,0
0201301000,1220,1
0201301000,2010,1
0201303000,1220,1
0201303000,2010,1
0201305015,1220,1
0201305015,2010,0
0201305025,1220,1
0201305025,2010,1
0201305035,1220,0.9998941893
0201305035,2010,1
0201305045,1220,0.9995106173
0201305045,2010,1
0201305055,1220,1
0201305055,2010,1
0201305065,1220,0.9997246804
0201305065,2010,1
0201305075,1220,0.9999750097
0201305075,2010,1
0201305085,1220,1
0201305085,2010,0.9996140948
0201308010,1220,1
0201308010,2010,0
0201308090,1220,0.9973076687
0201308090,2010,1
0202100510,1220,0
0202100510,2010,0
0202100590,1220,0
0202100590,2010,0
0202101010,1220,0
0202101010,2010,0
0202101090,1220,0
0202101090,2010,0
0202105010,1220,0
0202105010,2010,0
0202105090,1220,0
0202105090,2010,0
0202200200,1220,0
0202200200,2010,0
0202200400,1220,0
0202200400,2010,0
0202200600,1220,0
0202200600,2010,0
0202201000,1220,0
0202201000,2010,1
0202203000,1220,0
0202203000,2010,0
0202205025,1220,1
0202205025,2010,1
0202205035,1220,0
0202205035,2010,1
0202205045,1220,0
0202205045,2010,1
0202205090,1220,1
0202205090,2010,1
0202208000,1220,1
0202208000,2010,1
0202300200,1220,0
0202300200,2010,0
0202300400,1220,0
0202300400,2010,0
0202300600,1220,0
0202300600,2010,0
0202301000,1220,1
0202301000,2010,1
0202303000,1220,1
0202303000,2010,1
0202305015,1220,1
0202305015,2010,0
0202305025,1220,1
0202305025,2010,1
0202305035,1220,0.9907126204
0202305035,2010,1
0202305045,1220,1
0202305045,2010,1
0202305055,1220,0
0202305055,2010,0
0202305065,1220,0
0202305065,2010,0
0202305075,1220,0.9969765058
0202305075,2010,1
0202305085,1220,1
0202305085,2010,1
0202308000,1220,0.9999264851
0202308000,2010,1
0203110000,1220,0
