bea_code,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
332,0.0133492,0.0037615,0.0380535,0.0227103,0.0115017,0.0152258,0.0694788,0.0423763,0.0302013,0.050605,1.1284113,0.0815666,0.0285446,0.1124679,0.0742047,0.0605312,0.080427,0.0360314,0.0317304,0.0259412,0.0106284,0.0501914,0.0257943,0.0261425,0.0195665,0.0454177,0.0059983,0.0056464,0.0057902,0.0036128,0.00515,0.0069181,0.0128677,0.0319378,0.0107396,0.0116834,0.0339653,0.0090418,0.0100782,0.004334,0.0024439,0.0165371,0.0076023,0.0026051,0.0042383,0.00179,0.0038806,0.002392,0.0087347,0.0085796,0.0017934,0.0070855,0.0072367,0.0043203,0.0078651,0.0317028,0.006867,0.0044403,0.0075476,0.0048356,0.0151614,0.0034491,0.0143442,0.0110661,0.0094732,0.0128004,0.0217055,0.0080865,0.0077696,0.0089225,0.0411412,0.0537391,0.0080865
333,0.0109641,0.0023964,0.0334324,0.0464009,0.0299306,0.0075763,0.0246388,0.0094516,0.0088029,0.0182567,0.0217871,1.0951093,0.0032786,0.0241451,0.0758355,0.0176967,0.0082781,0.0074292,0.0123117,0.0082464,0.0033358,0.0132046,0.0222525,0.021128,0.0120441,0.0175326,0.0033651,0.0033394,0.0032737,0.0019917,0.0028432,0.0044104,0.0044595,0.0062639,0.0066505,0.0048857,0.0038619,0.0136002,0.0111231,0.0017344,0.0013065,0.003289,0.0038099,0.0011814,0.002111,0.0013858,0.0018485,9.394e-4,0.0046392,0.0048475,9.512e-4,0.004561,0.0034323,0.0022531,0.0075277,0.0315203,0.0080041,0.0030117,0.0041454,0.0029836,0.0039496,0.002061,0.006515,0.0024291,0.0036604,0.0108458,0.0076633,0.0032536,0.0043427,0.0060143,0.0170511,0.0192331,0.0032536
334,0.0063692,0.0020794,0.0067238,0.0074776,0.0049495,0.0048884,0.0109962,0.0188746,0.0119433,0.0187174,0.0255736,0.0285529,1.117838,0.0387066,0.0589212,0.0783265,0.0226913,0.0185618,0.0112471,0.0172347,0.0067572,0.0136031,0.0195936,0.0059151,0.0104019,0.0178452,0.0236556,0.0074822,0.0048518,0.0044297,0.0048407,0.0046077,0.0055623,0.0076965,0.0051052,0.0048918,0.0036407,0.0049021,0.0038115,0.0091456,0.006727,0.0370391,0.014887,0.0036206,0.0082861,0.0020059,0.0121517,6.964e-4,0.0057724,0.0053287,0.006191,0.0109993,0.010119,0.0253976,0.0103109,0.0118442,0.0071221,0.0105629,0.0058163,0.0044496,0.0061513,0.0032036,0.0064001,0.0046919,0.005837,0.010798,0.0374328,0.0160155,0.0038266,0.0060269,0.0124672,0.0159968,0.0160155
335,0.0133462,0.002471,0.0039729,0.0051931,0.0062126,0.0053207,0.0267564,0.0072773,0.0042388,0.0137291,0.01584,0.0519374,0.0097655,1.0805595,0.0342832,0.0095719,0.0060265,0.0076206,0.0079841,0.0049526,0.0023636,0.0076251,0.0049034,0.003212,0.0039987,0.0073016,0.0041856,0.0030263,0.0023621,0.0025859,0.0018022,0.0022204,0.005215,0.0035205,0.0025874,0.0040942,0.0024694,0.0030692,0.0028122,0.0012436,9.052e-4,0.0067094,0.0020746,0.0011496,0.0023527,8.741e-4,0.0019081,9.366e-4,0.0037127,0.0028201,7.315e-4,0.0053202,0.0037961,0.0016683,0.0037654,0.0125228,0.0026711,0.0013974,0.002794,0.0034768,0.0057937,0.0014459,0.0078298,0.0033656,0.0027405,0.0070304,0.0090148,0.0121626,0.0028413,0.0031142,0.0177516,0.0108488,0.0121626
3361MV,0.0086215,0.0032925,0.0084202,0.0156905,0.0066692,0.0056205,0.0074281,0.0301949,0.0118092,0.0160136,0.0141759,0.0475279,0.0063881,0.0157114,1.4098303,0.0284369,0.0164591,0.0094037,0.0130178,0.0131518,0.0053146,0.0176307,0.0085936,0.0063508,0.0056859,0.009217,0.0081341,0.0116558,0.0107251,0.0033096,0.0077276,0.0034631,0.0056373,0.009006,0.0244195,0.0127617,0.0030932,0.0062961,0.0141488,0.0029357,0.0023733,0.0047554,0.0044451,0.001768,0.0029823,0.0015218,0.0024698,6.221e-4,0.0057956,0.0111313,0.0014491,0.0027777,0.0048874,0.0038729,0.0225907,0.0207783,0.0093661,0.0036686,0.0074669,0.0041521,0.0146234,0.0039918,0.0058549,0.0035907,0.0058149,0.0238051,0.0245813,0.0035053,0.0429874,0.0096766,0.0123823,0.0256185,0.0035053
3364OT,4.677e-4,2.632e-4,3.098e-4,5.451e-4,2.577e-4,4.997e-4,3.949e-4,7.881e-4,8.144e-4,9.829e-4,8.697e-4,0.0024434,7.005e-4,0.0013218,0.0041987,1.3057793,5.373e-4,3.123e-4,6.034e-4,4.202e-4,2.215e-4,7.435e-4,4.092e-4,3.14e-4,3.736e-4,0.00084079999999999995,5.197e-4,3.097e-4,2.647e-4,1.396e-4,3.307e-4,0.0079829,0.0184064,0.024562,0.0017164,0.0017616,3.218e-4,0.0093872,5.249e-4,1.739e-4,1.869e-4,2.4e-4,2.934e-4,1.71e-4,4.917e-4,1.152e-4,3.66e-4,3.05e-5,3.084e-4,3.534e-4,1.111e-4,2.094e-4,0.0010361,2.102e-4,3.873e-4,0.0011792,2.271e-4,1.923e-4,2.684e-4,2.025e-4,2.737e-4,2.234e-4,8.129e-4,1.662e-4,2.662e-4,3.248e-4,0.0763659,0.0034117,8.885e-4,2.568e-4,0.0010016,0.001642,0.0034117
337,2.235e-4,6.72e-5,1.546e-4,5.174e-4,2.148e-4,0.0014641,0.0087983,0.002659,3.352e-4,3.576e-4,2.975e-4,7.321e-4,5.017e-4,2.822e-4,3.789e-4,2.135e-4,1.041831,0.0014377,2.536e-4,3.32e-4,2.344e-4,3.912e-4,2.84e-4,2.064e-4,1.824e-4,0.0012234,4.322e-4,5.876e-4,3.559e-4,1.825e-4,0.0010183,1.576e-4,4.99e-4,2.584e-4,2.222e-4,5.941e-4,4.393e-4,5.043e-4,1.801e-4,1.236e-4,2.723e-4,3.827e-4,5.304e-4,1.442e-4,1.838e-4,8.25e-5,1.788e-4,9.612e-4,6.219e-4,1.827e-4,1.017e-4,1.005e-4,3.325e-4,1.742e-4,1.647e-4,2.505e-4,2.075e-4,3.292e-4,3.281e-4,2.203e-4,9.537e-4,0.0023486,0.0022895,3.017e-4,4.798e-4,5.309e-4,2.906e-4,1.23e-4,4.891e-4,2.987e-4,0.0054796,3.855e-4,1.23e-4
339,5.038e-4,2.055e-4,4.722e-4,7.68e-4,4.219e-4,3.267e-4,0.0010772,6.123e-4,7.232e-4,7.858e-4,7.705e-4,0.0051121,2.474e-4,0.0033623,0.0050279,4.744e-4,5.787e-4,1.0257746,4.648e-4,7.363e-4,0.0064633,4.69e-4,6.21e-4,3.649e-4,6.781e-4,0.0010883,6.024e-4,0.0010925,6.576e-4,2.032e-4,7.134e-4,3.052e-4,2.769e-4,5.528e-4,4.145e-4,5.65e-4,2.928e-4,5.791e-4,8.603e-4,2.46e-4,2.398e-4,3.95e-4,4.054e-4,2.275e-4,3.87e-4,1.686e-4,3.062e-4,7.06e-5,6.551e-4,4.823e-4,1.584e-4,2.819e-4,0.0010058,2.836e-4,0.0019095,0.002411,0.0012453,0.0121993,0.0179079,0.0015989,0.0030704,0.0010109,9.6e-4,3.258e-4,8.471e-4,0.0024082,0.0026771,9.761e-4,3.001e-4,0.0023483,7.549e-4,0.0018176,9.761e-4
311FT,0.1200054,0.0165388,0.0012369,0.0014775,0.0012884,0.001557,0.0017864,0.0046063,0.0092686,0.0043423,0.0023238,0.0016887,6.738e-4,0.0021958,0.0024996,9.708e-4,0.002755,0.002304,1.2355754,0.0080701,0.0240982,0.0053507,0.0106017,0.0020812,0.0159752,0.0067948,0.0029905,0.0014737,0.0037537,0.0017921,0.0015042,0.0052634,0.00108,0.0068888,0.0013264,0.001373,8.982e-4,0.0017079,9.458e-4,0.0010389,0.0016913,0.0015081,0.0021505,0.0016009,0.0019415,9.155e-4,0.0020283,1.956e-4,0.0042212,0.0021151,0.0010911,0.0018722,0.003958,0.002058,0.0023271,0.0066367,0.0261257,0.0048275,0.017929,0.0240536,0.0651804,0.0100291,0.0252682,0.0205012,0.0820884,0.0036055,0.0109714,0.0016356,0.0071184,0.0469213,0.0020469,0.02155,0.0016356
313TT,6.458e-4,2.72e-4,3.527e-4,6.794e-4,3.634e-4,4.098e-4,0.0020427,0.0059176,0.0031148,0.0011336,9.639e-4,0.0032773,4.068e-4,0.0012375,0.0057877,0.0034071,0.0457132,0.0101665,0.0016126,1.1825396,0.1020933,0.0248575,0.0076013,3.941e-4,0.0014733,0.0116716,0.0010445,3.948e-4,5.948e-4,0.0124358,0.0012294,3.228e-4,5.692e-4,8.166e-4,4.748e-4,5.72e-4,2.569e-4,5.179e-4,2.899e-4,2.311e-4,0.0016258,4.108e-4,3.167e-4,1.721e-4,3.142e-4,1.952e-4,2.591e-4,1.154e-4,5.064e-4,6.848e-4,1.335e-4,2.32e-4,5.093e-4,2.674e-4,6.927e-4,0.0020536,5.345e-4,5.656e-4,9.375e-4,0.0056853,0.0040503,3.463e-4,8.595e-4,0.0038758,8.506e-4,0.0010733,0.0012705,0.0010534,5.655e-4,0.0011397,0.0010893,0.0027951,0.0010534
