date,country_name,effective_tariff,total_imports,tariff_2024,iso3,country,tariffs_charged_to_usa,reciprocal_tariffs,exports_bn,imports_bn,trade_deficit_bn,reciprocal_tariff,tariffs_charged_to_usa_wh,us_reciprocal_tariffs,tariff_rate_final
2026-04-06,UNITED ARAB EMIRATES,16.328980526343383,7188011875.0,2.269413320912189,ARE,,,,,,,,,,
2026-04-06,GUATEMALA,6.718094377737089,5024213301.0,0.8735477052947678,GTM,,,,,,,,,,
2026-04-06,PAKISTAN,10.11527249674968,5107479031.0,9.589125790382516,PAK,Pakistan,0.58,0.29,2.1,5.1,-3.0,0.29,0.58,0.29,0.29
2026-04-06,TRINIDAD AND TOBAGO,4.3123210371017375,3247910632.0,0.0142155389206534,TTO,,,,,,,,,,
2026-04-06,NICARAGUA,9.68512629260552,4640059191.0,1.3320080942045034,NIC,,,,,,,,,,
2026-04-06,KUWAIT,0.4591376451404851,1704495990.0,0.1050545739330252,KWT,,,,,,,,,,
2026-04-06,ALGERIA,2.0808694262143272,2712545770.0,0.0961585617779271,DZA,,,,,,,,,,
2026-04-06,SRI LANKA,10.700626984155408,3118528089.0,10.121829240961503,LKA,,,,,,,,,,
2026-04-06,ANGOLA,1.6867140009485817,1662167957.0,0.0647056150655899,AGO,,,,,,,,,,
2026-04-06,EL SALVADOR,10.279065422121477,2301947103.0,0.92059912985759,SLV,,,,,,,,,,
2026-04-06,EGYPT,11.879801438837376,2559338157.0,1.8207506840214704,EGY,,,,,,,,,,
2026-04-06,EUROPEAN UNION,8.939733420133852,597473236377.0,1.2290777517549552,EUU,,,,,,,,,,
2026-04-06,AUSTRIA,8.939733420133852,597473236377.0,1.2290777517549552,AUT,,,,,,,,,,
2026-04-06,BELGIUM,8.939733420133852,597473236377.0,1.2290777517549552,BEL,,,,,,,,,,
2026-04-06,BULGARIA,8.939733420133852,597473236377.0,1.2290777517549552,BGR,,,,,,,,,,
2026-04-06,CROATIA,8.939733420133852,597473236377.0,1.2290777517549552,HRV,,,,,,,,,,
2026-04-06,CYPRUS,8.939733420133852,597473236377.0,1.2290777517549552,CYP,,,,,,,,,,
2026-04-06,CZECH REPUBLIC,8.939733420133852,597473236377.0,1.2290777517549552,CZE,,,,,,,,,,
2026-04-06,DENMARK,8.939733420133852,597473236377.0,1.2290777517549552,DNK,,,,,,,,,,
2026-04-06,ESTONIA,8.939733420133852,597473236377.0,1.2290777517549552,EST,,,,,,,,,,
2026-04-06,FINLAND,8.939733420133852,597473236377.0,1.2290777517549552,FIN,,,,,,,,,,
2026-04-06,FRANCE,8.939733420133852,597473236377.0,1.2290777517549552,FRA,,,,,,,,,,
2026-04-06,GERMANY,8.939733420133852,597473236377.0,1.2290777517549552,DEU,,,,,,,,,,
2026-04-06,GREECE,8.939733420133852,597473236377.0,1.2290777517549552,GRC,,,,,,,,,,
2026-04-06,HUNGARY,8.939733420133852,597473236377.0,1.2290777517549552,HUN,,,,,,,,,,
2026-04-06,IRELAND,8.939733420133852,597473236377.0,1.2290777517549552,IRL,,,,,,,,,,
2026-04-06,ITALY,8.939733420133852,597473236377.0,1.2290777517549552,ITA,,,,,,,,,,
2026-04-06,LATVIA,8.939733420133852,597473236377.0,1.2290777517549552,LVA,,,,,,,,,,
2026-04-06,LITHUANIA,8.939733420133852,597473236377.0,1.2290777517549552,LTU,,,,,,,,,,
2026-04-06,LUXEMBOURG,8.939733420133852,597473236377.0,1.2290777517549552,LUX,,,,,,,,,,
2026-04-06,MALTA,8.939733420133852,597473236377.0,1.2290777517549552,MLT,,,,,,,,,,
2026-04-06,NETHERLANDS,8.939733420133852,597473236377.0,1.2290777517549552,NLD,,,,,,,,,,
2026-04-06,POLAND,8.939733420133852,597473236377.0,1.2290777517549552,POL,,,,,,,,,,
2026-04-06,PORTUGAL,8.939733420133852,597473236377.0,1.2290777517549552,PRT,,,,,,,,,,
2026-04-06,ROMANIA,8.939733420133852,597473236377.0,1.2290777517549552,ROU,,,,,,,,,,
2026-04-06,SLOVENIA,8.939733420133852,597473236377.0,1.2290777517549552,SVN,,,,,,,,,,
2026-04-06,SPAIN,8.939733420133852,597473236377.0,1.2290777517549552,ESP,,,,,,,,,,
2026-04-06,SWEDEN,8.939733420133852,597473236377.0,1.2290777517549552,SWE,,,,,,,,,,
