State Imports by NAICS Commodities,,,,
Current date: 05/12/2025 2:56 PM (Eastern Daylight Time),,,,
Measures: Customs Value (Gen) ($US),,,,
State,Commodity,Country,Time,Customs Value (Gen) ($US)
Alabama,2123 Nonmetallic Minerals,Bolivia,2024,"46,621"
Alabama,2123 Nonmetallic Minerals,Canada,2024,"10,480,318"
Alabama,2123 Nonmetallic Minerals,China,2024,"81,457"
Alabama,2123 Nonmetallic Minerals,Denmark,2024,"196,653"
Alabama,2123 Nonmetallic Minerals,Estonia,2024,"23,957"
Alabama,2123 Nonmetallic Minerals,France,2024,"7,548"
Alabama,2123 Nonmetallic Minerals,Germany,2024,"6,498"
Alabama,2123 Nonmetallic Minerals,Greece,2024,"829,590"
Alabama,2123 Nonmetallic Minerals,Honduras,2024,"854,068"
Alabama,2123 Nonmetallic Minerals,Iceland,2024,"247,680"
Alabama,2123 Nonmetallic Minerals,India,2024,"110,786"
Alabama,2123 Nonmetallic Minerals,Israel,2024,"6,084,148"
Alabama,2123 Nonmetallic Minerals,Italy,2024,"12,270"
Alabama,2123 Nonmetallic Minerals,Japan,2024,"19,481"
Alabama,2123 Nonmetallic Minerals,"Korea, South",2024,"2,016,910"
Alabama,2123 Nonmetallic Minerals,Latvia,2024,"1,132,178"
Alabama,2123 Nonmetallic Minerals,Netherlands,2024,"108,650"
Alabama,2123 Nonmetallic Minerals,New Zealand,2024,"88,935"
Alabama,2123 Nonmetallic Minerals,Pakistan,2024,"40,258"
Alabama,2123 Nonmetallic Minerals,Peru,2024,"247,839"
Alabama,2123 Nonmetallic Minerals,South Africa,2024,"678,948"
Alabama,2123 Nonmetallic Minerals,United Kingdom,2024,"9,361"
Alabama,3111 Animal Foods,Cambodia,2024,"1,499,192"
Alabama,3111 Animal Foods,Canada,2024,"1,074,193"
Alabama,3111 Animal Foods,China,2024,"7,140,752"
Alabama,3111 Animal Foods,Ecuador,2024,"1,434,849"
Alabama,3111 Animal Foods,Germany,2024,"91,545"
Alabama,3111 Animal Foods,India,2024,"313,109"
Alabama,3111 Animal Foods,Thailand,2024,"1,622,465"
Alabama,3111 Animal Foods,Vietnam,2024,"1,679,954"
Alabama,3112 Grain & Oilseed Milling Products,Argentina,2024,"53,580"
Alabama,3112 Grain & Oilseed Milling Products,Austria,2024,"125,228"
Alabama,3112 Grain & Oilseed Milling Products,Canada,2024,"116,275,996"
Alabama,3112 Grain & Oilseed Milling Products,China,2024,"21,622"
Alabama,3112 Grain & Oilseed Milling Products,Ecuador,2024,"174,520"
Alabama,3112 Grain & Oilseed Milling Products,Germany,2024,"114,186"
Alabama,3112 Grain & Oilseed Milling Products,Greece,2024,"152,396"
Alabama,3112 Grain & Oilseed Milling Products,Indonesia,2024,"631,430"
Alabama,3112 Grain & Oilseed Milling Products,Italy,2024,"125,874"
Alabama,3112 Grain & Oilseed Milling Products,Mexico,2024,"157,126"
Alabama,3112 Grain & Oilseed Milling Products,Philippines,2024,"643,574"
Alabama,3112 Grain & Oilseed Milling Products,Spain,2024,"16,596,798"
Alabama,3112 Grain & Oilseed Milling Products,Taiwan,2024,"4,528"
Alabama,3112 Grain & Oilseed Milling Products,Thailand,2024,"1,115,345"
Alabama,3112 Grain & Oilseed Milling Products,Tunisia,2024,"244,039"
Alabama,3112 Grain & Oilseed Milling Products,Turkey,2024,"166,500"
Alabama,3112 Grain & Oilseed Milling Products,United Arab Emirates,2024,"15,649,770"
Alabama,3112 Grain & Oilseed Milling Products,United Kingdom,2024,"5,088"
Alabama,3113 Sugar & Confectionery Products,Brazil,2024,"40,382"
Alabama,3113 Sugar & Confectionery Products,Canada,2024,"4,784,027"
Alabama,3113 Sugar & Confectionery Products,China,2024,"42,560"
Alabama,3113 Sugar & Confectionery Products,Colombia,2024,"1,066,700"
Alabama,3113 Sugar & Confectionery Products,Ecuador,2024,"7,557"
