Year,Forecasted_Revenue
2026,68.44444444444343
2027,75.51111111111095
2028,82.57777777777665
2029,89.64444444444416
2030,96.71111111110986
2031,103.77777777777736
2032,110.84444444444308
2033,117.9111111111106
2034,124.9777777777781
2035,132.0444444444438
2036,139.1111111111113
2037,146.177777777777
2038,153.24444444444453
2039,160.31111111111022
2040,167.37777777777774
