country,us_2024_deficit,us_2024_exports,us_2024_imports_(customs_basis),trump_tariffs_alleged,trump_response,population
Indonesia,"-17,882.60","10,202.10","28,084.70",64%,32%,281190067.0
Iran,84.6,90.8,6.2,10%,10%,90608707.0
Iraq,"-5,761.70","1,660.60","7,422.30",78%,39%,45074049.0
Israel*,"-7,425.40","14,792.00","22,217.50",33%,17%,9756600.0
Jamaica,"2,282.80","2,644.10",361.4,10%,10%,2839786.0
Japan,"-68,467.70","79,740.80","148,208.60",46%,23%,124516650.0
Jordan*,"-1,334.10","2,030.80","3,364.90",40%,20%,11439213.0
Kazakhstan,"-1,253.70","1,077.10","2,330.70",54%,27%,20330104.0
Kenya,45.2,782.5,737.3,10%,10%,55339003.0
Kiribati (-),121,208,217,10%,10%,132530.0
"Korea, North (-)",114,219,228,10%,10%,
"Korea, South*","-66,007.40","65,541.80","131,549.20",50%,25%,
Kosovo,15.4,49.4,34,10%,10%,1756366.0
Kuwait,768.2,"2,411.80","1,643.60",10%,10%,4853420.0
Kyrgyzstan,116.5,133.1,16.7,10%,10%,
Laos,-762.9,40.4,803.3,95%,47%,
Lebanon,283.8,541.4,257.6,10%,10%,5773493.0
Lesotho,-234.5,2.8,237.3,99%,49%,2311472.0
Liberia,147.9,220.4,72.5,10%,10%,5493031.0
Libya,-898.3,567.2,"1,465.60",61%,31%,7305659.0
Liechtenstein,-177.7,66,243.7,73%,36%,39850.0
Macau,166.3,275.1,108.8,10%,10%,
Madagascar,-679.8,53.4,733.2,93%,46%,31195932.0
Malawi,-14.1,26.9,41.1,34%,17%,21104482.0
Malaysia,"-24,830.10","27,704.80","52,534.80",47%,24%,35126298.0
Maldives,87.8,92.6,4.8,10%,10%,525994.0
Mali,46,51.5,5.5,10%,10%,23769127.0
Marshall Islands,107,127.4,20.4,10%,10%,38827.0
Martinique,196.4,199.2,2.8,10%,10%,
Mauritania,136.9,139.8,2.9,10%,10%,5022441.0
Mauritius,-186.5,48,234.5,80%,40%,1261041.0
Mayotte,-0.1,1.8,1.9,10%,10%,
Mexico**,"-171,809.20","334,041.40","505,850.60",34%,17%,129739759.0
Micronesia,48,50.5,2.4,10%,10%,112630.0
Moldova,-82.9,53.6,136.5,61%,30%,2457783.0
Monaco,115.2,162.8,47.6,10%,10%,38956.0
Mongolia,369.6,396.6,27,10%,10%,3481145.0
Montenegro,12.3,27.7,15.4,10%,10%,616177.0
Montserrat,6.4,12.1,5.6,10%,10%,
Morocco*,"3,363.80","5,268.60","1,904.90",10%,10%,37712505.0
Mozambique,-66.4,149.7,216.1,31%,15%,33635160.0
Namibia,-114.7,160.5,275.2,42%,21%,2963095.0
Nauru,-1.3,0.9,2.2,59%,30%,11875.0
Nepal,0.4,120.9,120.5,10%,10%,29694614.0
New Caledonia,-4.5,29.4,33.8,13%,10%,289870.0
New Zealand,"-1,117.60","4,499.40","5,617.00",20%,10%,5223100.0
Nicaragua**,"-1,681.30","2,941.00","4,622.30",36%,18%,6823613.0
Niger,34.9,43.3,8.3,10%,10%,26159867.0
Nigeria,"-1,524.90","4,174.30","5,699.20",27%,13%,227882945.0
Niue,-3.7,0.6,4.3,86%,43%,
Norfolk Island (-),100,230,224,10%,10%,
North Macedonia,-113.1,60.6,173.7,65%,33%,1827816.0
Norway,"-1,991.30","4,592.00","6,583.30",30%,15%,5519594.0
Oman*,634.3,"1,954.30","1,320.00",10%,10%,5049269.0
Pakistan,"-2,988.50","2,135.10","5,123.70",58%,29%,247504495.0
Palau,18.8,21,2.2,10%,10%,17727.0
Panama*,"10,146.30","10,702.10",555.8,10%,10%,4458759.0
Papua New Guinea,-12,67.2,79.2,15%,10%,10389635.0
Paraguay,"2,802.30","3,158.40",356.2,10%,10%,6844146.0
Peru*,"1,860.60","11,223.80","9,363.20",10%,10%,33845617.0
Philippines,"-4,880.30","9,297.30","14,177.60",34%,17%,114891199.0
Pitcairn Islands (-),113,221,233,10%,10%,
Qatar,"1,970.10","3,804.20","1,834.20",10%,10%,2656032.0
Reunion,-32.2,11.9,44.1,73%,37%,
Russia,"-2,481.40",526.1,"3,007.50",83%,41%,143826130.0
Rwanda,14.5,44.8,30.2,10%,10%,13954471.0
Samoa,48.7,54.4,5.7,10%,10%,216663.0
San Marino,54.8,80,25.2,10%,10%,33860.0
Sao Tome and Principe (-),111,222,219,10%,10%,230871.0
Saudi Arabia,443.3,"13,177.00","12,733.70",10%,10%,33264292.0
Senegal,115.7,350.9,235.1,10%,10%,18077573.0
Serbia,-604.5,209.9,814.4,74%,37%,6623183.0
Seychelles,9.4,16.5,7.2,10%,10%,119773.0
Sierra Leone,91.1,119.9,28.7,10%,10%,8460512.0
Singapore*,"2,828.90","46,032.60","43,203.70",10%,10%,5917648.0
Sint Maarten,652.4,753.9,101.5,10%,10%,42749.0
Solomon Islands,11.8,13.1,1.3,10%,10%,5426740.0
Somalia,46.6,49.1,2.5,10%,10%,18358615.0
South Africa,"-8,836.80","5,819.00","14,655.80",60%,30%,63212384.0
South Sudan,58.5,59.3,0.8,10%,10%,11483374.0
Sri Lanka,"-2,647.40",368.2,"3,015.60",88%,44%,22037000.0
St Helena,-1.6,9,10.6,15%,10%,
St Kitts and Nevis,140.6,160.2,19.6,10%,10%,46758.0
St Lucia,"1,036.60","1,043.60",7,10%,10%,179285.0
St Pierre and Miquelon (-),95,232,194,10%,10%,
St Vincent and the Grenadines,135,143.2,8.3,10%,10%,101323.0
Sudan,43.5,56.6,13.1,10%,10%,50042791.0
Suriname,292.6,383.5,90.9,10%,10%,628886.0
"Svalbard, Jan Mayen Island (-)",108,228,229,10%,10%,
Switzerland,"-38,463.30","24,962.00","63,425.30",61%,30%,8888093.0
Syria (-),90,217,173,10%,10%,23594623.0
Taiwan,"-73,927.20","42,336.90","116,264.00",64%,32%,
Tajikistan,52.2,56.8,4.6,10%,10%,10389799.0
Tanzania,368.7,573.4,204.7,10%,10%,
Thailand,"-45,608.90","17,719.20","63,328.20",72%,36%,71702435.0
Timor-Leste,13.1,19,5.9,10%,10%,1384286.0
Togo,193.6,283.6,90,10%,10%,9304337.0
Tokelau (-),104,229,225,10%,10%,
Tonga,17.1,19.9,2.8,10%,10%,104597.0
Trinidad and Tobago,-386.2,"2,939.70","3,325.90",12%,10%,1367510.0
Tunisia,-619.6,503.6,"1,123.20",55%,28%,12200431.0
Turkey,"-1,452.70","15,293.00","16,745.70",10%,10%,85325965.0
Turkmenistan,67.6,82.2,14.6,10%,10%,7364438.0
Turks and Caicos Islands,702.6,713.6,11,10%,10%,46198.0
Tuvalu (-),106,226,222,10%,10%,9816.0
Uganda,-26.3,106.3,132.6,20%,10%,48656601.0
Ukraine,497,"1,683.50","1,186.50",10%,10%,37732836.0
United Arab Emirates,"19,494.90","26,969.30","7,474.40",10%,10%,10483751.0
United Kingdom,"11,856.90","79,941.30","68,084.50",10%,10%,68350000.0
Uruguay,420.2,"1,649.00","1,228.80",10%,10%,3388081.0
Uzbekistan,338.4,380.8,42.4,10%,10%,35652307.0
Vanuatu,-6.1,7.6,13.7,45%,22%,320409.0
Vatican City (-),112,223,226,10%,10%,
Venezuela,"-1,755.80","4,232.00","5,987.90",29%,15%,28300854.0
Vietnam,"-123,463.00","13,098.20","136,561.20",90%,45%,100352192.0
West Bank Administered by Israel,-2.3,3.7,6,38%,19%,
Yemen,125.2,134.1,8.9,10%,10%,39390799.0
Zambia,-55.3,113.8,169.1,33%,16%,20723965.0
Zimbabwe,-24.1,43.8,67.8,36%,18%,16340822.0
